matricule,nom,prenom,filiere_code,matiere_code,note,note_max,type_evaluation,coefficient,date_evaluation,semestre,annee_academique
ETU-GC-005,DJOSSOU,Karen,L1-GC-2026,BA301,9.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-005,DJOSSOU,Karen,L1-GC-2026,MDS201,11.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-005,DJOSSOU,Karen,L1-GC-2026,TOPO101,10.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-005,DJOSSOU,Karen,L1-GC-2026,HYD301,9.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-005,DJOSSOU,Karen,L1-GC-2026,DT101,11.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-006,DAGA,Léon,L1-GC-2026,RDM201,7.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-006,DAGA,Léon,L1-GC-2026,BA301,6.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-006,DAGA,Léon,L1-GC-2026,MDS201,8.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-006,DAGA,Léon,L1-GC-2026,TOPO101,7.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-006,DAGA,Léon,L1-GC-2026,HYD301,6.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-006,DAGA,Léon,L1-GC-2026,DT101,9.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-007,ZINFLOU,Marius,L1-GC-2026,RDM201,4.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-007,ZINFLOU,Marius,L1-GC-2026,BA301,3.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-007,ZINFLOU,Marius,L1-GC-2026,MDS201,5.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-007,ZINFLOU,Marius,L1-GC-2026,TOPO101,4.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-007,ZINFLOU,Marius,L1-GC-2026,HYD301,3.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-007,ZINFLOU,Marius,L1-GC-2026,DT101,5.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-008,TOSSOU,Nathalie,L1-GC-2026,RDM201,2.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-008,TOSSOU,Nathalie,L1-GC-2026,BA301,2.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-008,TOSSOU,Nathalie,L1-GC-2026,MDS201,4.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-008,TOSSOU,Nathalie,L1-GC-2026,TOPO101,3.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-008,TOSSOU,Nathalie,L1-GC-2026,HYD301,2.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-008,TOSSOU,Nathalie,L1-GC-2026,DT101,4.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-009,HOUSSOU,Olivier,L2-GC-2026,RDM201,17.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-009,HOUSSOU,Olivier,L2-GC-2026,BA301,16.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-009,HOUSSOU,Olivier,L2-GC-2026,MDS201,15.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-009,HOUSSOU,Olivier,L2-GC-2026,TOPO101,16.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-009,HOUSSOU,Olivier,L2-GC-2026,HYD301,17.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-009,HOUSSOU,Olivier,L2-GC-2026,DT101,17.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-010,AZONKPIN,Pascale,L2-GC-2026,RDM201,15.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-010,AZONKPIN,Pascale,L2-GC-2026,BA301,17.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-010,AZONKPIN,Pascale,L2-GC-2026,MDS201,16.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-010,AZONKPIN,Pascale,L2-GC-2026,TOPO101,15.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-010,AZONKPIN,Pascale,L2-GC-2026,HYD301,16.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-010,AZONKPIN,Pascale,L2-GC-2026,DT101,16.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-011,ASSOGBA,Quentin,L2-GC-2026,RDM201,13.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-011,ASSOGBA,Quentin,L2-GC-2026,BA301,13.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-011,ASSOGBA,Quentin,L2-GC-2026,MDS201,13.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-011,ASSOGBA,Quentin,L2-GC-2026,TOPO101,14.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-011,ASSOGBA,Quentin,L2-GC-2026,HYD301,12.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-011,ASSOGBA,Quentin,L2-GC-2026,DT101,14.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-012,DEGBEY,Rita,L2-GC-2026,RDM201,12.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-012,DEGBEY,Rita,L2-GC-2026,BA301,11.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-012,DEGBEY,Rita,L2-GC-2026,MDS201,12.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-012,DEGBEY,Rita,L2-GC-2026,TOPO101,13.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-012,DEGBEY,Rita,L2-GC-2026,HYD301,12.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-012,DEGBEY,Rita,L2-GC-2026,DT101,13.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-013,GANGBO,Serge,L2-GC-2026,RDM201,10.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-013,GANGBO,Serge,L2-GC-2026,BA301,9.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-013,GANGBO,Serge,L2-GC-2026,MDS201,11.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-013,GANGBO,Serge,L2-GC-2026,TOPO101,10.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-013,GANGBO,Serge,L2-GC-2026,HYD301,10.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-013,GANGBO,Serge,L2-GC-2026,DT101,11.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-014,HOUNKPE,Tatiana,L2-GC-2026,RDM201,7.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-014,HOUNKPE,Tatiana,L2-GC-2026,BA301,6.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-014,HOUNKPE,Tatiana,L2-GC-2026,MDS201,8.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-014,HOUNKPE,Tatiana,L2-GC-2026,TOPO101,7.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-014,HOUNKPE,Tatiana,L2-GC-2026,HYD301,7.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-014,HOUNKPE,Tatiana,L2-GC-2026,DT101,8.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-015,KASSA,Urbain,L2-GC-2026,RDM201,4.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-015,KASSA,Urbain,L2-GC-2026,BA301,3.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-015,KASSA,Urbain,L2-GC-2026,MDS201,5.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-015,KASSA,Urbain,L2-GC-2026,TOPO101,4.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-015,KASSA,Urbain,L2-GC-2026,HYD301,4.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-015,KASSA,Urbain,L2-GC-2026,DT101,5.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-016,LAWANI,Viviane,L2-GC-2026,RDM201,3.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-016,LAWANI,Viviane,L2-GC-2026,BA301,2.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-016,LAWANI,Viviane,L2-GC-2026,MDS201,4.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-016,LAWANI,Viviane,L2-GC-2026,TOPO101,3.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-016,LAWANI,Viviane,L2-GC-2026,HYD301,3.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-016,LAWANI,Viviane,L2-GC-2026,DT101,4.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-017,MEHOU,Wilfried,L3-GC-2026,RDM201,16.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-017,MEHOU,Wilfried,L3-GC-2026,BA301,17.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-017,MEHOU,Wilfried,L3-GC-2026,MDS201,16.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-017,MEHOU,Wilfried,L3-GC-2026,TOPO101,15.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-017,MEHOU,Wilfried,L3-GC-2026,HYD301,17.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-017,MEHOU,Wilfried,L3-GC-2026,DT101,17.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-018,NOUKPO,Xavier,L3-GC-2026,RDM201,15.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-018,NOUKPO,Xavier,L3-GC-2026,BA301,16.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-018,NOUKPO,Xavier,L3-GC-2026,MDS201,15.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-018,NOUKPO,Xavier,L3-GC-2026,TOPO101,16.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-018,NOUKPO,Xavier,L3-GC-2026,HYD301,15.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-018,NOUKPO,Xavier,L3-GC-2026,DT101,17.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-019,OUASSA,Yves,L3-GC-2026,RDM201,13.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-019,OUASSA,Yves,L3-GC-2026,BA301,14.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-019,OUASSA,Yves,L3-GC-2026,MDS201,13.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-019,OUASSA,Yves,L3-GC-2026,TOPO101,12.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-019,OUASSA,Yves,L3-GC-2026,HYD301,13.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-019,OUASSA,Yves,L3-GC-2026,DT101,14.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-020,PADONOU,Zénab,L3-GC-2026,RDM201,11.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-020,PADONOU,Zénab,L3-GC-2026,BA301,12.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-020,PADONOU,Zénab,L3-GC-2026,MDS201,12.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-020,PADONOU,Zénab,L3-GC-2026,TOPO101,11.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-020,PADONOU,Zénab,L3-GC-2026,HYD301,12.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-020,PADONOU,Zénab,L3-GC-2026,DT101,12.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-021,QUENUM,Aristide,L3-GC-2026,RDM201,9.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-021,QUENUM,Aristide,L3-GC-2026,BA301,10.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-021,QUENUM,Aristide,L3-GC-2026,MDS201,10.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-021,QUENUM,Aristide,L3-GC-2026,TOPO101,10.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-021,QUENUM,Aristide,L3-GC-2026,HYD301,10.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-021,QUENUM,Aristide,L3-GC-2026,DT101,11.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-022,SAGBO,Bérénice,L3-GC-2026,RDM201,6.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-022,SAGBO,Bérénice,L3-GC-2026,BA301,7.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-022,SAGBO,Bérénice,L3-GC-2026,MDS201,7.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-022,SAGBO,Bérénice,L3-GC-2026,TOPO101,7.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-022,SAGBO,Bérénice,L3-GC-2026,HYD301,6.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-022,SAGBO,Bérénice,L3-GC-2026,DT101,8.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-023,TOKPO,Cédric,L3-GC-2026,RDM201,3.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-023,TOKPO,Cédric,L3-GC-2026,BA301,4.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-023,TOKPO,Cédric,L3-GC-2026,MDS201,4.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-023,TOKPO,Cédric,L3-GC-2026,TOPO101,3.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-023,TOKPO,Cédric,L3-GC-2026,HYD301,3.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-023,TOKPO,Cédric,L3-GC-2026,DT101,5.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-024,VODOUHE,Diane,L3-GC-2026,RDM201,2.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-024,VODOUHE,Diane,L3-GC-2026,BA301,3.00,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-024,VODOUHE,Diane,L3-GC-2026,MDS201,3.50,20,Examen,2,2026-01-15,S1,2025-2026
ETU-GC-024,VODOUHE,Diane,L3-GC-2026,TOPO101,2.50,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-024,VODOUHE,Diane,L3-GC-2026,HYD301,2.00,20,Examen,2,2026-05-20,S2,2025-2026
ETU-GC-024,VODOUHE,Diane,L3-GC-2026,DT101,4.00,20,Examen,2,2026-05-20,S2,2025-2026
